IDs,esm2_t33_650M_UR50D,esm2_t36_3B_UR50D,esm2_t48_15B_UR50D
esm2_t36_3B_UR50D_idx0,0,1,0
esm2_t36_3B_UR50D_idx1,0,1,0
esm2_t36_3B_UR50D_idx2,0,1,0
esm2_t36_3B_UR50D_idx3,0,1,0
esm2_t36_3B_UR50D_idx4,0,1,0
esm2_t36_3B_UR50D_idx5,0,1,0
esm2_t36_3B_UR50D_idx6,0,1,0
esm2_t36_3B_UR50D_idx7,0,1,0
esm2_t36_3B_UR50D_idx8,0,1,0
esm2_t36_3B_UR50D_idx9,0,1,0
esm2_t36_3B_UR50D_idx10,0,1,0
esm2_t36_3B_UR50D_idx11,0,1,0
esm2_t36_3B_UR50D_idx12,0,1,0
esm2_t36_3B_UR50D_idx13,0,1,0
esm2_t36_3B_UR50D_idx14,0,1,0
esm2_t36_3B_UR50D_idx15,0,1,0
esm2_t36_3B_UR50D_idx16,0,1,0
esm2_t36_3B_UR50D_idx17,0,1,0
esm2_t36_3B_UR50D_idx18,0,1,0
esm2_t36_3B_UR50D_idx19,0,1,0
esm2_t36_3B_UR50D_idx20,0,1,0
esm2_t36_3B_UR50D_idx21,0,1,0
esm2_t36_3B_UR50D_idx22,0,1,0
esm2_t36_3B_UR50D_idx23,0,1,0
esm2_t36_3B_UR50D_idx24,0,1,0
esm2_t36_3B_UR50D_idx25,0,1,0
esm2_t36_3B_UR50D_idx26,0,1,0
esm2_t36_3B_UR50D_idx27,0,1,0
esm2_t36_3B_UR50D_idx28,0,1,0
esm2_t36_3B_UR50D_idx29,0,1,0
esm2_t36_3B_UR50D_idx30,0,1,0
esm2_t36_3B_UR50D_idx31,0,1,0
esm2_t36_3B_UR50D_idx32,0,1,0
esm2_t36_3B_UR50D_idx33,0,1,0
esm2_t36_3B_UR50D_idx34,0,1,0
esm2_t36_3B_UR50D_idx35,0,1,0
esm2_t36_3B_UR50D_idx36,0,1,0
esm2_t36_3B_UR50D_idx37,0,1,0
esm2_t36_3B_UR50D_idx38,0,1,0
esm2_t36_3B_UR50D_idx39,0,1,0
esm2_t36_3B_UR50D_idx40,0,1,0
esm2_t36_3B_UR50D_idx41,0,1,0
esm2_t36_3B_UR50D_idx42,0,1,0
esm2_t36_3B_UR50D_idx43,0,1,0
esm2_t36_3B_UR50D_idx44,0,1,0
esm2_t36_3B_UR50D_idx45,0,1,0
esm2_t36_3B_UR50D_idx46,0,1,0
esm2_t36_3B_UR50D_idx47,0,1,0
esm2_t36_3B_UR50D_idx48,0,1,0
esm2_t36_3B_UR50D_idx49,0,1,0
