IDs,xmol_step_400000
xmol_idx0,1
xmol_idx1,1
xmol_idx2,1
xmol_idx3,1
xmol_idx4,1
xmol_idx5,1
xmol_idx6,1
xmol_idx7,1
xmol_idx8,1
xmol_idx9,1
xmol_idx10,1
xmol_idx11,1
xmol_idx12,1
xmol_idx13,1
xmol_idx14,1
xmol_idx15,1
xmol_idx16,1
xmol_idx17,1
xmol_idx18,1
xmol_idx19,1
xmol_idx20,1
xmol_idx21,1
xmol_idx22,1
xmol_idx23,1
xmol_idx24,1
xmol_idx25,1
xmol_idx26,1
xmol_idx27,1
xmol_idx28,1
xmol_idx29,1
xmol_idx30,1
xmol_idx31,1
xmol_idx32,1
xmol_idx33,1
xmol_idx34,1
xmol_idx35,1
xmol_idx36,1
xmol_idx37,1
xmol_idx38,1
xmol_idx39,1
xmol_idx40,1
xmol_idx41,1
xmol_idx42,1
xmol_idx43,1
xmol_idx44,1
xmol_idx45,1
xmol_idx46,1
xmol_idx47,1
xmol_idx48,1
xmol_idx49,1
xmol_idx50,1
xmol_idx51,1
xmol_idx52,1
xmol_idx53,1
xmol_idx54,1
xmol_idx55,1
xmol_idx56,1
xmol_idx57,1
xmol_idx58,1
xmol_idx59,1
xmol_idx60,1
xmol_idx61,1
xmol_idx62,1
xmol_idx63,1
xmol_idx64,1
xmol_idx65,1
xmol_idx66,1
xmol_idx67,1
xmol_idx68,1
xmol_idx69,1
xmol_idx70,1
xmol_idx71,1
xmol_idx72,1
xmol_idx73,1
xmol_idx74,1
xmol_idx75,1
xmol_idx76,1
xmol_idx77,1
xmol_idx78,1
xmol_idx79,1
xmol_idx80,1
xmol_idx81,1
xmol_idx82,1
xmol_idx83,1
xmol_idx84,1
xmol_idx85,1
xmol_idx86,1
xmol_idx87,1
xmol_idx88,1
xmol_idx89,1
xmol_idx90,1
xmol_idx91,1
xmol_idx92,1
xmol_idx93,1
xmol_idx94,1
xmol_idx95,1
xmol_idx96,1
xmol_idx97,1
xmol_idx98,1
xmol_idx99,1
xmol_idx100,1
xmol_idx101,1
xmol_idx102,1
xmol_idx103,1
xmol_idx104,1
xmol_idx105,1
xmol_idx106,1
xmol_idx107,1
xmol_idx108,1
xmol_idx109,1
xmol_idx110,1
xmol_idx111,1
xmol_idx112,1
xmol_idx113,1
xmol_idx114,1
xmol_idx115,1
xmol_idx116,1
xmol_idx117,1
xmol_idx118,1
xmol_idx119,1
xmol_idx120,1
xmol_idx121,1
xmol_idx122,1
xmol_idx123,1
xmol_idx124,1
xmol_idx125,1
xmol_idx126,1
xmol_idx127,1
xmol_idx128,1
xmol_idx129,1
xmol_idx130,1
xmol_idx131,1
xmol_idx132,1
xmol_idx133,1
xmol_idx134,1
xmol_idx135,1
xmol_idx136,1
xmol_idx137,1
xmol_idx138,1
xmol_idx139,1
xmol_idx140,1
xmol_idx141,1
xmol_idx142,1
xmol_idx143,1
xmol_idx144,1
xmol_idx145,1
xmol_idx146,1
xmol_idx147,1
xmol_idx148,1
xmol_idx149,1
xmol_idx150,1
xmol_idx151,1
xmol_idx152,1
xmol_idx153,1
xmol_idx154,1
xmol_idx155,1
xmol_idx156,1
xmol_idx157,1
xmol_idx158,1
xmol_idx159,1
xmol_idx160,1
xmol_idx161,1
xmol_idx162,1
xmol_idx163,1
xmol_idx164,1
xmol_idx165,1
xmol_idx166,1
xmol_idx167,1
xmol_idx168,1
xmol_idx169,1
xmol_idx170,1
xmol_idx171,1
xmol_idx172,1
xmol_idx173,1
xmol_idx174,1
xmol_idx175,1
xmol_idx176,1
xmol_idx177,1
xmol_idx178,1
xmol_idx179,1
xmol_idx180,1
xmol_idx181,1
xmol_idx182,1
xmol_idx183,1
xmol_idx184,1
xmol_idx185,1
xmol_idx186,1
xmol_idx187,1
xmol_idx188,1
xmol_idx189,1
xmol_idx190,1
xmol_idx191,1
xmol_idx192,1
xmol_idx193,1
xmol_idx194,1
xmol_idx195,1
xmol_idx196,1
xmol_idx197,1
xmol_idx198,1
xmol_idx199,1
xmol_idx200,1
xmol_idx201,1
xmol_idx202,1
xmol_idx203,1
xmol_idx204,1
xmol_idx205,1
xmol_idx206,1
xmol_idx207,1
xmol_idx208,1
xmol_idx209,1
xmol_idx210,1
xmol_idx211,1
xmol_idx212,1
xmol_idx213,1
xmol_idx214,1
xmol_idx215,1
xmol_idx216,1
xmol_idx217,1
xmol_idx218,1
xmol_idx219,1
xmol_idx220,1
xmol_idx221,1
xmol_idx222,1
xmol_idx223,1
xmol_idx224,1
xmol_idx225,1
xmol_idx226,1
xmol_idx227,1
xmol_idx228,1
xmol_idx229,1
xmol_idx230,1
xmol_idx231,1
xmol_idx232,1
xmol_idx233,1
xmol_idx234,1
xmol_idx235,1
xmol_idx236,1
xmol_idx237,1
xmol_idx238,1
xmol_idx239,1
xmol_idx240,1
xmol_idx241,1
xmol_idx242,1
xmol_idx243,1
xmol_idx244,1
xmol_idx245,1
xmol_idx246,1
xmol_idx247,1
xmol_idx248,1
xmol_idx249,1
xmol_idx250,1
xmol_idx251,1
xmol_idx252,1
xmol_idx253,1
xmol_idx254,1
xmol_idx255,1
xmol_idx256,1
xmol_idx257,1
xmol_idx258,1
xmol_idx259,1
xmol_idx260,1
xmol_idx261,1
xmol_idx262,1
xmol_idx263,1
xmol_idx264,1
xmol_idx265,1
xmol_idx266,1
xmol_idx267,1
xmol_idx268,1
xmol_idx269,1
xmol_idx270,1
xmol_idx271,1
xmol_idx272,1
xmol_idx273,1
xmol_idx274,1
xmol_idx275,1
xmol_idx276,1
xmol_idx277,1
xmol_idx278,1
xmol_idx279,1
xmol_idx280,1
xmol_idx281,1
xmol_idx282,1
xmol_idx283,1
xmol_idx284,1
xmol_idx285,1
xmol_idx286,1
xmol_idx287,1
xmol_idx288,1
xmol_idx289,1
xmol_idx290,1
xmol_idx291,1
xmol_idx292,1
xmol_idx293,1
xmol_idx294,1
xmol_idx295,1
xmol_idx296,1
xmol_idx297,1
xmol_idx298,1
xmol_idx299,1
xmol_idx300,1
xmol_idx301,1
xmol_idx302,1
xmol_idx303,1
xmol_idx304,1
xmol_idx305,1
xmol_idx306,1
xmol_idx307,1
xmol_idx308,1
xmol_idx309,1
xmol_idx310,1
xmol_idx311,1
xmol_idx312,1
xmol_idx313,1
xmol_idx314,1
xmol_idx315,1
xmol_idx316,1
xmol_idx317,1
xmol_idx318,1
xmol_idx319,1
xmol_idx320,1
xmol_idx321,1
xmol_idx322,1
xmol_idx323,1
xmol_idx324,1
xmol_idx325,1
xmol_idx326,1
xmol_idx327,1
xmol_idx328,1
xmol_idx329,1
xmol_idx330,1
xmol_idx331,1
