,IDs,xmol_step_400000,Subtypes
0,xmol_idx0,1,xmol_step_400000
1,xmol_idx1,1,xmol_step_400000
2,xmol_idx2,1,xmol_step_400000
3,xmol_idx3,1,xmol_step_400000
4,xmol_idx4,1,xmol_step_400000
5,xmol_idx5,1,xmol_step_400000
6,xmol_idx6,1,xmol_step_400000
7,xmol_idx7,1,xmol_step_400000
8,xmol_idx8,1,xmol_step_400000
9,xmol_idx9,1,xmol_step_400000
10,xmol_idx10,1,xmol_step_400000
11,xmol_idx11,1,xmol_step_400000
12,xmol_idx12,1,xmol_step_400000
13,xmol_idx13,1,xmol_step_400000
14,xmol_idx14,1,xmol_step_400000
15,xmol_idx15,1,xmol_step_400000
16,xmol_idx16,1,xmol_step_400000
17,xmol_idx17,1,xmol_step_400000
18,xmol_idx18,1,xmol_step_400000
19,xmol_idx19,1,xmol_step_400000
20,xmol_idx20,1,xmol_step_400000
21,xmol_idx21,1,xmol_step_400000
22,xmol_idx22,1,xmol_step_400000
23,xmol_idx23,1,xmol_step_400000
24,xmol_idx24,1,xmol_step_400000
25,xmol_idx25,1,xmol_step_400000
26,xmol_idx26,1,xmol_step_400000
27,xmol_idx27,1,xmol_step_400000
28,xmol_idx28,1,xmol_step_400000
29,xmol_idx29,1,xmol_step_400000
30,xmol_idx30,1,xmol_step_400000
31,xmol_idx31,1,xmol_step_400000
32,xmol_idx32,1,xmol_step_400000
33,xmol_idx33,1,xmol_step_400000
34,xmol_idx34,1,xmol_step_400000
35,xmol_idx35,1,xmol_step_400000
36,xmol_idx36,1,xmol_step_400000
37,xmol_idx37,1,xmol_step_400000
38,xmol_idx38,1,xmol_step_400000
39,xmol_idx39,1,xmol_step_400000
40,xmol_idx40,1,xmol_step_400000
41,xmol_idx41,1,xmol_step_400000
42,xmol_idx42,1,xmol_step_400000
43,xmol_idx43,1,xmol_step_400000
44,xmol_idx44,1,xmol_step_400000
45,xmol_idx45,1,xmol_step_400000
46,xmol_idx46,1,xmol_step_400000
47,xmol_idx47,1,xmol_step_400000
48,xmol_idx48,1,xmol_step_400000
49,xmol_idx49,1,xmol_step_400000
50,xmol_idx50,1,xmol_step_400000
51,xmol_idx51,1,xmol_step_400000
52,xmol_idx52,1,xmol_step_400000
53,xmol_idx53,1,xmol_step_400000
54,xmol_idx54,1,xmol_step_400000
55,xmol_idx55,1,xmol_step_400000
56,xmol_idx56,1,xmol_step_400000
57,xmol_idx57,1,xmol_step_400000
58,xmol_idx58,1,xmol_step_400000
59,xmol_idx59,1,xmol_step_400000
60,xmol_idx60,1,xmol_step_400000
61,xmol_idx61,1,xmol_step_400000
62,xmol_idx62,1,xmol_step_400000
63,xmol_idx63,1,xmol_step_400000
64,xmol_idx64,1,xmol_step_400000
65,xmol_idx65,1,xmol_step_400000
66,xmol_idx66,1,xmol_step_400000
67,xmol_idx67,1,xmol_step_400000
68,xmol_idx68,1,xmol_step_400000
69,xmol_idx69,1,xmol_step_400000
70,xmol_idx70,1,xmol_step_400000
71,xmol_idx71,1,xmol_step_400000
72,xmol_idx72,1,xmol_step_400000
73,xmol_idx73,1,xmol_step_400000
74,xmol_idx74,1,xmol_step_400000
75,xmol_idx75,1,xmol_step_400000
76,xmol_idx76,1,xmol_step_400000
77,xmol_idx77,1,xmol_step_400000
78,xmol_idx78,1,xmol_step_400000
79,xmol_idx79,1,xmol_step_400000
80,xmol_idx80,1,xmol_step_400000
81,xmol_idx81,1,xmol_step_400000
82,xmol_idx82,1,xmol_step_400000
83,xmol_idx83,1,xmol_step_400000
84,xmol_idx84,1,xmol_step_400000
85,xmol_idx85,1,xmol_step_400000
86,xmol_idx86,1,xmol_step_400000
87,xmol_idx87,1,xmol_step_400000
88,xmol_idx88,1,xmol_step_400000
89,xmol_idx89,1,xmol_step_400000
90,xmol_idx90,1,xmol_step_400000
91,xmol_idx91,1,xmol_step_400000
92,xmol_idx92,1,xmol_step_400000
93,xmol_idx93,1,xmol_step_400000
94,xmol_idx94,1,xmol_step_400000
95,xmol_idx95,1,xmol_step_400000
96,xmol_idx96,1,xmol_step_400000
97,xmol_idx97,1,xmol_step_400000
98,xmol_idx98,1,xmol_step_400000
99,xmol_idx99,1,xmol_step_400000
100,xmol_idx100,1,xmol_step_400000
101,xmol_idx101,1,xmol_step_400000
102,xmol_idx102,1,xmol_step_400000
103,xmol_idx103,1,xmol_step_400000
104,xmol_idx104,1,xmol_step_400000
105,xmol_idx105,1,xmol_step_400000
106,xmol_idx106,1,xmol_step_400000
107,xmol_idx107,1,xmol_step_400000
108,xmol_idx108,1,xmol_step_400000
109,xmol_idx109,1,xmol_step_400000
110,xmol_idx110,1,xmol_step_400000
111,xmol_idx111,1,xmol_step_400000
112,xmol_idx112,1,xmol_step_400000
113,xmol_idx113,1,xmol_step_400000
114,xmol_idx114,1,xmol_step_400000
115,xmol_idx115,1,xmol_step_400000
116,xmol_idx116,1,xmol_step_400000
117,xmol_idx117,1,xmol_step_400000
118,xmol_idx118,1,xmol_step_400000
119,xmol_idx119,1,xmol_step_400000
120,xmol_idx120,1,xmol_step_400000
121,xmol_idx121,1,xmol_step_400000
122,xmol_idx122,1,xmol_step_400000
123,xmol_idx123,1,xmol_step_400000
124,xmol_idx124,1,xmol_step_400000
125,xmol_idx125,1,xmol_step_400000
126,xmol_idx126,1,xmol_step_400000
127,xmol_idx127,1,xmol_step_400000
128,xmol_idx128,1,xmol_step_400000
129,xmol_idx129,1,xmol_step_400000
130,xmol_idx130,1,xmol_step_400000
131,xmol_idx131,1,xmol_step_400000
132,xmol_idx132,1,xmol_step_400000
133,xmol_idx133,1,xmol_step_400000
134,xmol_idx134,1,xmol_step_400000
135,xmol_idx135,1,xmol_step_400000
136,xmol_idx136,1,xmol_step_400000
137,xmol_idx137,1,xmol_step_400000
138,xmol_idx138,1,xmol_step_400000
139,xmol_idx139,1,xmol_step_400000
140,xmol_idx140,1,xmol_step_400000
141,xmol_idx141,1,xmol_step_400000
142,xmol_idx142,1,xmol_step_400000
143,xmol_idx143,1,xmol_step_400000
144,xmol_idx144,1,xmol_step_400000
145,xmol_idx145,1,xmol_step_400000
146,xmol_idx146,1,xmol_step_400000
147,xmol_idx147,1,xmol_step_400000
148,xmol_idx148,1,xmol_step_400000
149,xmol_idx149,1,xmol_step_400000
150,xmol_idx150,1,xmol_step_400000
