,IDs,esm2_t33_650M_UR50D,esm2_t36_3B_UR50D,esm2_t48_15B_UR50D,Subtypes
0,esm2_t36_3B_UR50D_idx0,0,1,0,esm2_t36_3B_UR50D
1,esm2_t36_3B_UR50D_idx1,0,1,0,esm2_t36_3B_UR50D
2,esm2_t36_3B_UR50D_idx2,0,1,0,esm2_t36_3B_UR50D
3,esm2_t36_3B_UR50D_idx3,0,1,0,esm2_t36_3B_UR50D
4,esm2_t36_3B_UR50D_idx4,0,1,0,esm2_t36_3B_UR50D
5,esm2_t36_3B_UR50D_idx5,0,1,0,esm2_t36_3B_UR50D
6,esm2_t36_3B_UR50D_idx6,0,1,0,esm2_t36_3B_UR50D
7,esm2_t36_3B_UR50D_idx7,0,1,0,esm2_t36_3B_UR50D
8,esm2_t36_3B_UR50D_idx8,0,1,0,esm2_t36_3B_UR50D
9,esm2_t36_3B_UR50D_idx9,0,1,0,esm2_t36_3B_UR50D
10,esm2_t36_3B_UR50D_idx10,0,1,0,esm2_t36_3B_UR50D
11,esm2_t36_3B_UR50D_idx11,0,1,0,esm2_t36_3B_UR50D
12,esm2_t36_3B_UR50D_idx12,0,1,0,esm2_t36_3B_UR50D
13,esm2_t36_3B_UR50D_idx13,0,1,0,esm2_t36_3B_UR50D
14,esm2_t36_3B_UR50D_idx14,0,1,0,esm2_t36_3B_UR50D
15,esm2_t36_3B_UR50D_idx15,0,1,0,esm2_t36_3B_UR50D
16,esm2_t36_3B_UR50D_idx16,0,1,0,esm2_t36_3B_UR50D
17,esm2_t36_3B_UR50D_idx17,0,1,0,esm2_t36_3B_UR50D
18,esm2_t36_3B_UR50D_idx18,0,1,0,esm2_t36_3B_UR50D
19,esm2_t36_3B_UR50D_idx19,0,1,0,esm2_t36_3B_UR50D
20,esm2_t36_3B_UR50D_idx20,0,1,0,esm2_t36_3B_UR50D
21,esm2_t36_3B_UR50D_idx21,0,1,0,esm2_t36_3B_UR50D
22,esm2_t36_3B_UR50D_idx22,0,1,0,esm2_t36_3B_UR50D
23,esm2_t36_3B_UR50D_idx23,0,1,0,esm2_t36_3B_UR50D
24,esm2_t36_3B_UR50D_idx24,0,1,0,esm2_t36_3B_UR50D
25,esm2_t36_3B_UR50D_idx25,0,1,0,esm2_t36_3B_UR50D
26,esm2_t36_3B_UR50D_idx26,0,1,0,esm2_t36_3B_UR50D
27,esm2_t36_3B_UR50D_idx27,0,1,0,esm2_t36_3B_UR50D
28,esm2_t36_3B_UR50D_idx28,0,1,0,esm2_t36_3B_UR50D
29,esm2_t36_3B_UR50D_idx29,0,1,0,esm2_t36_3B_UR50D
30,esm2_t36_3B_UR50D_idx30,0,1,0,esm2_t36_3B_UR50D
31,esm2_t36_3B_UR50D_idx31,0,1,0,esm2_t36_3B_UR50D
