,source,drugid,protid,label
0,bindingdb,DR000000,PR000000,1
1,bindingdb,DR000001,PR000001,1
2,bindingdb,DR000002,PR000002,1
3,bindingdb,DR000003,PR000003,1
4,bindingdb,DR000004,PR000004,1
5,bindingdb,DR000005,PR000005,1
6,bindingdb,DR000006,PR000006,1
7,bindingdb,DR000007,PR000007,1
8,bindingdb,DR000008,PR000008,1
9,bindingdb,DR000009,PR000008,1
10,bindingdb,DR000010,PR000009,1
11,bindingdb,DR000011,PR000010,1
12,bindingdb,DR000012,PR000011,1
13,bindingdb,DR000013,PR000012,1
14,bindingdb,DR000014,PR000013,1
15,bindingdb,DR000015,PR000014,1
16,bindingdb,DR000016,PR000015,1
17,bindingdb,DR000017,PR000016,1
18,bindingdb,DR000018,PR000010,1
19,bindingdb,DR000019,PR000010,1
20,bindingdb,DR000020,PR000017,1
21,bindingdb,DR000021,PR000011,1
22,bindingdb,DR000022,PR000018,1
23,bindingdb,DR000023,PR000008,1
24,bindingdb,DR000024,PR000019,1
25,bindingdb,DR000025,PR000020,1
26,bindingdb,DR000026,PR000021,1
27,bindingdb,DR000027,PR000022,1
28,bindingdb,DR000028,PR000011,1
29,bindingdb,DR000029,PR000023,1
30,bindingdb,DR000030,PR000024,1
31,bindingdb,DR000031,PR000025,1
32,bindingdb,DR000032,PR000026,1
33,bindingdb,DR000033,PR000027,1
34,bindingdb,DR000034,PR000015,1
35,bindingdb,DR000035,PR000028,1
36,bindingdb,DR000036,PR000003,1
37,bindingdb,DR000037,PR000029,1
38,bindingdb,DR000038,PR000030,1
39,bindingdb,DR000039,PR000031,1
40,bindingdb,DR000040,PR000032,1
41,bindingdb,DR000041,PR000021,1
42,bindingdb,DR000042,PR000033,1
43,bindingdb,DR000043,PR000034,1
44,bindingdb,DR000044,PR000035,1
45,bindingdb,DR000045,PR000036,1
46,bindingdb,DR000046,PR000033,1
47,bindingdb,DR000047,PR000037,1
48,bindingdb,DR000048,PR000013,1
49,bindingdb,DR000049,PR000038,1
50,bindingdb,DR000050,PR000039,1
51,bindingdb,DR000051,PR000040,1
52,bindingdb,DR000052,PR000041,1
53,bindingdb,DR000053,PR000007,1
54,bindingdb,DR000054,PR000042,1
55,bindingdb,DR000055,PR000019,1
56,bindingdb,DR000056,PR000043,1
57,bindingdb,DR000057,PR000044,1
58,bindingdb,DR000058,PR000015,1
59,bindingdb,DR000059,PR000003,1
60,bindingdb,DR000060,PR000013,1
61,bindingdb,DR000061,PR000013,1
62,bindingdb,DR000062,PR000045,1
63,bindingdb,DR000063,PR000046,1
64,bindingdb,DR000064,PR000039,1
65,bindingdb,DR000065,PR000028,1
66,bindingdb,DR000066,PR000047,1
67,bindingdb,DR000067,PR000048,1
68,bindingdb,DR000068,PR000027,1
69,bindingdb,DR000069,PR000049,1
70,bindingdb,DR000070,PR000050,1
71,bindingdb,DR000071,PR000051,1
72,bindingdb,DR000072,PR000044,1
73,bindingdb,DR000073,PR000052,1
74,bindingdb,DR000074,PR000053,1
75,bindingdb,DR000075,PR000054,1
76,bindingdb,DR000076,PR000055,1
77,bindingdb,DR000077,PR000032,1
78,bindingdb,DR000078,PR000056,1
79,bindingdb,DR000079,PR000034,1
80,bindingdb,DR000080,PR000015,1
81,bindingdb,DR000081,PR000016,1
82,bindingdb,DR000082,PR000057,1
83,bindingdb,DR000083,PR000007,1
84,bindingdb,DR000084,PR000058,1
85,bindingdb,DR000085,PR000059,1
86,bindingdb,DR000086,PR000013,1
87,bindingdb,DR000087,PR000000,1
88,bindingdb,DR000088,PR000060,1
89,bindingdb,DR000089,PR000044,1
90,bindingdb,DR000090,PR000003,1
91,bindingdb,DR000091,PR000061,1
92,bindingdb,DR000092,PR000052,1
93,bindingdb,DR000093,PR000062,1
