,source,drugid,protid,label
4,example,example_DR000000,example_PR000001,0
15,example,example_DR000003,example_PR000003,1
6,example,example_DR000002,example_PR000001,0
14,example,example_DR000002,example_PR000003,1
1,example,example_DR000001,example_PR000000,0
5,example,example_DR000001,example_PR000001,1
9,example,example_DR000001,example_PR000002,0
0,example,example_DR000000,example_PR000000,1
2,example,example_DR000002,example_PR000000,0
7,example,example_DR000003,example_PR000001,1
3,example,example_DR000003,example_PR000000,1
